Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,26,2018-01-04,29-296,GSW,@,HOU,W (+10),1,36:51,10,20,.500,4,10,.400,5,6,.833,0,9,9,5,1,0,3,3,29,21.6,+3
40,27,2018-01-06,29-298,GSW,@,LAC,W (+16),1,29:51,11,21,.524,8,16,.500,15,16,.938,2,4,6,3,3,0,2,2,45,39.2,+28
41,28,2018-01-08,29-300,GSW,,DEN,W (+10),1,34:50,9,17,.529,5,10,.500,9,10,.900,1,3,4,9,2,0,6,3,32,26.0,+3
42,,2018-01-10,29-302,GSW,,LAC,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2018-01-12,29-304,GSW,@,MIL,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,29,2018-01-13,29-305,GSW,@,TOR,W (+2),1,34:28,6,12,.500,2,7,.286,10,12,.833,0,6,6,9,1,0,1,3,24,24.1,-5
45,30,2018-01-15,29-307,GSW,@,CLE,W (+10),1,33:24,8,15,.533,4,8,.500,3,4,.750,1,3,4,8,2,0,3,3,23,20.3,+13
46,31,2018-01-17,29-309,GSW,@,CHI,W (+7),1,34:55,10,18,.556,6,11,.545,4,4,1.000,0,9,9,4,1,0,6,2,30,21.1,+21
47,32,2018-01-20,29-312,GSW,@,HOU,L (-8),1,36:11,6,20,.300,5,15,.333,2,4,.500,0,1,1,8,2,0,6,2,19,7.7,-11
48,33,2018-01-23,29-315,GSW,,NYK,W (+11),1,33:16,9,19,.474,8,15,.533,6,6,1.000,0,6,6,7,0,0,1,2,32,27.2,+4
49,34,2018-01-25,29-317,GSW,,MIN,W (+13),1,37:26,9,14,.643,5,9,.556,2,3,.667,2,3,5,9,3,0,2,2,25,27.2,+20
50,35,2018-01-27,29-319,GSW,,BOS,W (+4),1,36:48,16,24,.667,8,13,.615,9,10,.900,0,4,4,5,2,0,1,2,49,43.1,+6
51,36,2018-01-30,29-322,GSW,@,UTA,L (-30),1,29:38,4,13,.308,1,7,.143,5,5,1.000,1,1,2,5,0,0,3,1,14,7.6,-17
52,37,2018-02-02,29-325,GSW,@,SAC,W (+15),1,35:35,7,17,.412,3,10,.300,6,6,1.000,1,4,5,6,2,0,6,3,23,14.8,+14
53,38,2018-02-03,29-326,GSW,@,DEN,L (-7),1,35:37,8,16,.500,5,12,.417,3,4,.750,1,5,6,4,2,0,5,2,24,16.8,+4
54,39,2018-02-06,29-329,GSW,,OKC,L (-20),1,31:49,6,14,.429,2,9,.222,7,7,1.000,1,4,5,5,1,1,3,3,21,16.5,-13
55,40,2018-02-08,29-331,GSW,,DAL,W (+18),1,29:41,7,12,.583,4,9,.444,2,2,1.000,2,5,7,8,0,0,4,1,20,18.5,+3
56,41,2018-02-10,29-333,GSW,,SAS,W (+17),1,28:52,7,13,.538,3,7,.429,0,0,,1,3,4,8,2,0,2,0,17,17.9,+6
57,42,2018-02-12,29-335,GSW,,PHO,W (+46),1,29:53,8,17,.471,3,9,.333,3,3,1.000,2,7,9,7,0,1,3,3,22,18.2,+21
58,43,2018-02-14,29-337,GSW,@,POR,L (-6),1,34:26,6,17,.353,3,10,.300,2,2,1.000,2,2,4,6,3,0,7,4,17,8.1,-7
59,44,2018-02-22,29-345,GSW,,LAC,W (+7),1,37:08,14,19,.737,8,11,.727,8,8,1.000,1,5,6,10,2,0,4,4,44,41.9,+7
60,45,2018-02-24,29-347,GSW,,OKC,W (+32),1,29:49,8,19,.421,5,12,.417,0,0,,1,8,9,6,3,0,2,2,21,18.4,
